CurrencyRank,Currency,Pair,Volume (24h),Price,Volume (%),Liquidity,Category,Fee Type,Updated
67,Poolz Finance,POOLZ/WETH,$2631693,$25.79,0.07%,-,Spot,Percentage,Recently
68,Pickle Finance,PICKLE/WETH,$2602062,$30.48,0.07%,678,Spot,Percentage,Recently
69,Ren,REN/WETH,$2591481,$0.8925,0.07%,544,Spot,Percentage,Recently
70,Meta,MTA/WETH,$2506989,$4.23,0.07%,563,Spot,Percentage,Recently
71,WETH,WETH/BFLY,$2483201,$1801.86,0.07%,-,Spot,Percentage,Recently
72,WETH,WETH/ONX,$2404167,$1811.82,0.06%,-,Spot,Percentage,Recently
73,Wrapped Bitcoin,WBTC/USDC,$2386798,$45808.16,0.06%,534,Spot,Percentage,Recently
74,Mirror Protocol,MIR/UST,$2328740,$5.12,0.06%,-,Spot,Percentage,Recently
75,Compound,COMP/WETH,$2309563,$495.19,0.06%,627,Spot,Percentage,Recently
76,WETH,WETH/XED,$2304499,$1798.14,0.06%,-,Spot,Percentage,Recently
77,WETH,WETH/SNOW,$2255416,$1805.32,0.06%,400,Spot,Percentage,Recently
78,Morpheus.Network,MRPH/WETH,$2217104,$3.27,0.06%,0,Spot,Percentage,Recently
79,Marlin,POND/USDC,$2213801,$0.09261,0.06%,-,Spot,Percentage,Recently
80,WETH,WETH/DDIM,$2212189,$1807.52,0.06%,522,Spot,Percentage,Recently
81,Hegic,HEGIC/WETH,$2204300,$0.3675,0.06%,-,Spot,Percentage,Recently
82,Radix,eXRD/USDC,$2151792,$0.1353,0.06%,-,Spot,Percentage,Recently
83,WETH,WETH/stETH,$2150078,$1807.25,0.06%,737,Spot,Percentage,Recently
84,Growth DeFi,GRO/WETH,$2138356,$38.58,0.06%,0,Spot,Percentage,Recently
85,WETH,WETH/XCUR,$2109363,$1799.33,0.06%,-,Spot,Percentage,Recently
86,Keep3rV1,KP3R/WETH,$2099111,$402.73,0.06%,-,Spot,Percentage,Recently
87,Oraichain Token,ORAI/WETH,$2081041,$40.09,0.06%,479,Spot,Percentage,Recently
88,Perpetual Protocol,PERP/WETH,$2046841,$7.53,0.05%,649,Spot,Percentage,Recently
89,xDai,STAKE/WETH,$2037543,$20.48,0.05%,576,Spot,Percentage,Recently
90,Dai,DAI/BAS,$1928992,$0.9908,0.05%,441,Spot,Percentage,Recently
91,Harvest Finance,FARM/WETH,$1927928,$245.65,0.05%,617,Spot,Percentage,Recently
92,USD Coin,USDC/MM,$1893257,$0.9998,0.05%,-,Spot,Percentage,Recently
93,WETH,WETH/SWAP,$1877378,$1790.75,0.05%,563,Spot,Percentage,Recently
94,ARMOR,ARMOR/WETH,$1876031,$0.8869,0.05%,439,Spot,Percentage,Recently
95,AllianceBlock,ALBT/WETH,$1867100,$0.6190,0.05%,439,Spot,Percentage,Recently
96,Komet,KOMET/WETH,$1844912,$119.57,0.05%,-,Spot,Percentage,Recently
97,Dai,DAI/USDC,$1810644,$1.00,0.05%,696,Spot,Percentage,Recently
98,Unibright,UBT/WETH,$1758978,$0.8439,0.05%,444,Spot,Percentage,Recently
99,Quant,QNT/WETH,$1749092,$40.31,0.05%,396,Spot,Percentage,Recently
100,PARSIQ,PRQ/WETH,$1678372,$1.13,0.04%,434,Spot,Percentage,Recently
101,Whiteheart,WHITE/WETH,$1647360,$3782.60,0.04%,521,Spot,Percentage,Recently
102,Dai,DAI/USDT,$1569395,$1.01,0.04%,674,Spot,Percentage,Recently
103,USD Coin,USDC/GRT,$1539803,$1.00,0.04%,-,Spot,Percentage,Recently
104,Cream Finance,CREAM/WETH,$1530469,$232.35,0.04%,-,Spot,Percentage,Recently
105,MP3,MP3/WETH,$1504591,$0.08093,0.04%,-,Spot,Percentage,Recently
